pref,sex,agec,incidence,pop
0,1,0,3,4309
0,1,5,19,259642
0,1,10,15,252365
0,1,15,38,293159
0,1,20,234,398336
0,2,0,0,247970
0,2,5,14,247926
0,2,10,14,242958
0,2,15,31,285445
0,2,20,95,385185
0,9,0,3,507995
0,9,5,33,507568
0,9,10,29,495323
0,9,15,69,578604
0,9,20,329,783521
