pref,sex,agec,incidence,pop
1,1,0,7,5005
1,1,5,14,259642
1,1,10,13,252365
1,1,15,14,293159
1,1,20,231,398336
1,2,0,10,247970
1,2,5,11,247926
1,2,10,14,242958
1,2,15,39,285445
1,2,20,156,385185
1,9,0,17,507995
1,9,5,25,507568
1,9,10,27,495323
1,9,15,53,578604
1,9,20,387,783521
